丁仪 正礼  丁奉 承渊  丁原 建阳  丁谧 彦靖  
蒋济 子通  蒋琬 公琰  韩当 义公  韩珩 子佩  

韩浩 元嗣  韩遂 文约  韩嵩 德高  韩暨 公至  

韩馥 文节  程秉 德枢  程昱 仲德  程普 德谋  

程畿 季然  傅干 彦材  傅巽 公悌  傅嘏 兰石  

鲁肃 子敬  蒯良 子柔  蒯越 异度  楼玄 承先  

虞翻 仲翔  路粹 文蔚  简雍 宪和  满宠 伯宁  

蔡邕 伯喈  蔡琰 文姬  臧霸 宣高  裴秀 季彦  

管宁 幼安  管恪 公明  廖化 元俭  廖立 公渊  

谯周 允南  樊建 长元  滕胤 承嗣  圆泽 德润  

潘璋 文圭  潘浚 承明  薛悌 孝威  薛综 敬文  霍峻 仲邈  檀敷 文友  魏延 文长  糜芳 子方
